subject,property,type,target
Caprina,hasTopping,some,GoatsCheeseTopping
Caprina,hasTopping,some,MozzarellaTopping
Caprina,hasTopping,some,SundriedTomatoTopping
Caprina,hasTopping,some,TomatoTopping
Caprina,hasTopping,only,GoatsCheeseTopping
Caprina,hasTopping,only,MozzarellaTopping
Caprina,hasTopping,only,SundriedTomatoTopping
Caprina,hasTopping,only,TomatoTopping
ChickenTopping,hasSpiciness,some,Mild
Fiorentina,hasTopping,some,GarlicTopping
Fiorentina,hasTopping,some,MozzarellaTopping
Fiorentina,hasTopping,some,OliveTopping
Fiorentina,hasTopping,some,ParmesanTopping
Fiorentina,hasTopping,some,SpinachTopping
Fiorentina,hasTopping,some,TomatoTopping
Fiorentina,hasTopping,only,GarlicTopping
Fiorentina,hasTopping,only,MozzarellaTopping
Fiorentina,hasTopping,only,OliveTopping
Fiorentina,hasTopping,only,ParmesanTopping
Fiorentina,hasTopping,only,SpinachTopping
Fiorentina,hasTopping,only,TomatoTopping
FishTopping,hasSpiciness,some,Mild
FourCheesesTopping,hasSpiciness,some,Mild
FourSeasons,hasTopping,some,AnchoviesTopping
FourSeasons,hasTopping,some,CaperTopping
FourSeasons,hasTopping,some,MozzarellaTopping
FourSeasons,hasTopping,some,MushroomTopping
FourSeasons,hasTopping,some,OliveTopping
FourSeasons,hasTopping,some,PeperoniSausageTopping
FourSeasons,hasTopping,some,TomatoTopping
FourSeasons,hasTopping,only,AnchoviesTopping
FourSeasons,hasTopping,only,CaperTopping
FourSeasons,hasTopping,only,MozzarellaTopping
FourSeasons,hasTopping,only,MushroomTopping
FourSeasons,hasTopping,only,OliveTopping
FourSeasons,hasTopping,only,PeperoniSausageTopping
FourSeasons,hasTopping,only,TomatoTopping
FruttiDiMare,hasTopping,some,GarlicTopping
FruttiDiMare,hasTopping,some,MixedSeafoodTopping
FruttiDiMare,hasTopping,some,TomatoTopping
FruttiDiMare,hasTopping,only,GarlicTopping
FruttiDiMare,hasTopping,only,MixedSeafoodTopping
FruttiDiMare,hasTopping,only,TomatoTopping
GarlicTopping,hasSpiciness,some,Medium
Giardiniera,hasTopping,some,LeekTopping
Giardiniera,hasTopping,some,MozzarellaTopping
Giardiniera,hasTopping,some,MushroomTopping
Giardiniera,hasTopping,some,OliveTopping
Giardiniera,hasTopping,some,PeperonataTopping
Giardiniera,hasTopping,some,PetitPoisTopping
Giardiniera,hasTopping,some,SlicedTomatoTopping
Giardiniera,hasTopping,some,TomatoTopping
Giardiniera,hasTopping,only,LeekTopping
Giardiniera,hasTopping,only,MozzarellaTopping
Giardiniera,hasTopping,only,MushroomTopping
Giardiniera,hasTopping,only,OliveTopping
Giardiniera,hasTopping,only,PeperonataTopping
Giardiniera,hasTopping,only,PetitPoisTopping
Giardiniera,hasTopping,only,SlicedTomatoTopping
Giardiniera,hasTopping,only,TomatoTopping
GoatsCheeseTopping,hasSpiciness,some,Mild
GorgonzolaTopping,hasSpiciness,some,Mild
HotGreenPepperTopping,hasSpiciness,some,Hot
HotSpicedBeefTopping,hasSpiciness,some,Hot
IceCream,hasTopping,some,FruitTopping
JalapenoPepperTopping,hasSpiciness,some,Hot
LaReine,hasTopping,some,HamTopping
LaReine,hasTopping,some,MozzarellaTopping
LaReine,hasTopping,some,MushroomTopping
LaReine,hasTopping,some,OliveTopping
LaReine,hasTopping,some,TomatoTopping
LaReine,hasTopping,only,HamTopping
LaReine,hasTopping,only,MozzarellaTopping
LaReine,hasTopping,only,MushroomTopping
LaReine,hasTopping,only,OliveTopping
LaReine,hasTopping,only,TomatoTopping
LeekTopping,hasSpiciness,some,Mild
Margherita,hasTopping,some,MozzarellaTopping
Margherita,hasTopping,some,TomatoTopping
Margherita,hasTopping,only,MozzarellaTopping
Margherita,hasTopping,only,TomatoTopping
MozzarellaTopping,hasSpiciness,some,Mild
Mushroom,hasTopping,some,MozzarellaTopping
Mushroom,hasTopping,some,MushroomTopping
Mushroom,hasTopping,some,TomatoTopping
Mushroom,hasTopping,only,MozzarellaTopping
Mushroom,hasTopping,only,MushroomTopping
Mushroom,hasTopping,only,TomatoTopping
MushroomTopping,hasSpiciness,some,Mild
Napoletana,hasTopping,some,AnchoviesTopping
Napoletana,hasTopping,some,CaperTopping
Napoletana,hasTopping,some,MozzarellaTopping
Napoletana,hasTopping,some,OliveTopping
Napoletana,hasTopping,some,TomatoTopping
Napoletana,hasTopping,only,AnchoviesTopping
Napoletana,hasTopping,only,CaperTopping
Napoletana,hasTopping,only,MozzarellaTopping
Napoletana,hasTopping,only,OliveTopping
Napoletana,hasTopping,only,TomatoTopping
NutTopping,hasSpiciness,some,Mild
OliveTopping,hasSpiciness,some,Mild
OnionTopping,hasSpiciness,some,Medium
ParmaHamTopping,hasSpiciness,some,Mild
Parmense,hasTopping,some,AsparagusTopping
Parmense,hasTopping,some,HamTopping
Parmense,hasTopping,some,MozzarellaTopping
Parmense,hasTopping,some,ParmesanTopping
Parmense,hasTopping,some,TomatoTopping
Parmense,hasTopping,only,AsparagusTopping
Parmense,hasTopping,only,HamTopping
Parmense,hasTopping,only,MozzarellaTopping
Parmense,hasTopping,only,ParmesanTopping
Parmense,hasTopping,only,TomatoTopping
ParmesanTopping,hasSpiciness,some,Mild
PeperonataTopping,hasSpiciness,some,Medium
PeperoniSausageTopping,hasSpiciness,some,Medium
PetitPoisTopping,hasSpiciness,some,Mild
Pizza,hasBase,some,PizzaBase
PolloAdAstra,hasTopping,some,CajunSpiceTopping
PolloAdAstra,hasTopping,some,ChickenTopping
PolloAdAstra,hasTopping,some,GarlicTopping
PolloAdAstra,hasTopping,some,MozzarellaTopping
PolloAdAstra,hasTopping,some,RedOnionTopping
PolloAdAstra,hasTopping,some,SweetPepperTopping
PolloAdAstra,hasTopping,some,TomatoTopping
PolloAdAstra,hasTopping,only,CajunSpiceTopping
PolloAdAstra,hasTopping,only,ChickenTopping
PolloAdAstra,hasTopping,only,GarlicTopping
PolloAdAstra,hasTopping,only,MozzarellaTopping
PolloAdAstra,hasTopping,only,RedOnionTopping
PolloAdAstra,hasTopping,only,SweetPepperTopping
PolloAdAstra,hasTopping,only,TomatoTopping
PrinceCarlo,hasTopping,some,LeekTopping
PrinceCarlo,hasTopping,some,MozzarellaTopping
PrinceCarlo,hasTopping,some,ParmesanTopping
PrinceCarlo,hasTopping,some,RosemaryTopping
PrinceCarlo,hasTopping,some,TomatoTopping
PrinceCarlo,hasTopping,only,LeekTopping
PrinceCarlo,hasTopping,only,MozzarellaTopping
PrinceCarlo,hasTopping,only,ParmesanTopping
PrinceCarlo,hasTopping,only,RosemaryTopping
PrinceCarlo,hasTopping,only,TomatoTopping
QuattroFormaggi,hasTopping,some,FourCheesesTopping
QuattroFormaggi,hasTopping,some,TomatoTopping
QuattroFormaggi,hasTopping,only,FourCheesesTopping
QuattroFormaggi,hasTopping,only,TomatoTopping
RealItalianPizza,hasBase,only,ThinAndCrispyBase
RocketTopping,hasSpiciness,some,Medium
Rosa,hasTopping,some,GorgonzolaTopping
Rosa,hasTopping,some,MozzarellaTopping
Rosa,hasTopping,some,TomatoTopping
Rosa,hasTopping,only,GorgonzolaTopping
Rosa,hasTopping,only,MozzarellaTopping
Rosa,hasTopping,only,TomatoTopping
RosemaryTopping,hasSpiciness,some,Mild
Siciliana,hasTopping,some,AnchoviesTopping
Siciliana,hasTopping,some,ArtichokeTopping
Siciliana,hasTopping,some,GarlicTopping
Siciliana,hasTopping,some,HamTopping
Siciliana,hasTopping,some,MozzarellaTopping
Siciliana,hasTopping,some,OliveTopping
Siciliana,hasTopping,some,TomatoTopping
Siciliana,hasTopping,only,AnchoviesTopping
Siciliana,hasTopping,only,ArtichokeTopping
Siciliana,hasTopping,only,GarlicTopping
Siciliana,hasTopping,only,HamTopping
Siciliana,hasTopping,only,MozzarellaTopping
Siciliana,hasTopping,only,OliveTopping
Siciliana,hasTopping,only,TomatoTopping
SlicedTomatoTopping,hasSpiciness,some,Mild
SloppyGiuseppe,hasTopping,some,GreenPepperTopping
SloppyGiuseppe,hasTopping,some,HotSpicedBeefTopping
SloppyGiuseppe,hasTopping,some,MozzarellaTopping
SloppyGiuseppe,hasTopping,some,OnionTopping
SloppyGiuseppe,hasTopping,some,TomatoTopping
SloppyGiuseppe,hasTopping,only,GreenPepperTopping
SloppyGiuseppe,hasTopping,only,HotSpicedBeefTopping
SloppyGiuseppe,hasTopping,only,MozzarellaTopping
SloppyGiuseppe,hasTopping,only,OnionTopping
SloppyGiuseppe,hasTopping,only,TomatoTopping
Soho,hasTopping,some,GarlicTopping
Soho,hasTopping,some,MozzarellaTopping
Soho,hasTopping,some,OliveTopping
Soho,hasTopping,some,ParmesanTopping
Soho,hasTopping,some,RocketTopping
Soho,hasTopping,some,TomatoTopping
Soho,hasTopping,only,GarlicTopping
Soho,hasTopping,only,MozzarellaTopping
Soho,hasTopping,only,OliveTopping
Soho,hasTopping,only,ParmesanTopping
Soho,hasTopping,only,RocketTopping
Soho,hasTopping,only,TomatoTopping
SpinachTopping,hasSpiciness,some,Mild
SultanaTopping,hasSpiciness,some,Medium
SundriedTomatoTopping,hasSpiciness,some,Mild
SweetPepperTopping,hasSpiciness,some,Mild
TobascoPepperSauce,hasSpiciness,some,Hot
TomatoTopping,hasSpiciness,some,Mild
UnclosedPizza,hasTopping,some,MozzarellaTopping
Veneziana,hasTopping,some,CaperTopping
Veneziana,hasTopping,some,MozzarellaTopping
Veneziana,hasTopping,some,OliveTopping
Veneziana,hasTopping,some,OnionTopping
Veneziana,hasTopping,some,PineKernels
Veneziana,hasTopping,some,SultanaTopping
Veneziana,hasTopping,some,TomatoTopping
Veneziana,hasTopping,only,CaperTopping
Veneziana,hasTopping,only,MozzarellaTopping
Veneziana,hasTopping,only,OliveTopping
Veneziana,hasTopping,only,OnionTopping
Veneziana,hasTopping,only,PineKernels
Veneziana,hasTopping,only,SultanaTopping
Veneziana,hasTopping,only,TomatoTopping
